PAV_adj_gene,PAV_adj_train_pop,PAV_adj_n_PAVs_found
SL000455_ENSG00000177606.7,AFA,0
SL003755_ENSG00000143384.13,AFA,0
SL001791_ENSG00000242252.2,AFA,2
SL012561_ENSG00000134193.15,AFA,2
SL003340_ENSG00000133048.13,AFA,1
SL003650_ENSG00000074800.16,AFA,0
SL004827_ENSG00000197956.10,AFA,1
SL008810_ENSG00000172260.15,AFA,0
SL004821_ENSG00000196154.12,AFA,0
SL014983_ENSG00000184678.10,AFA,0
SL019979_ENSG00000181218.5,AFA,0
SL015510_ENSG00000187608.10,AFA,2
SL004139_ENSG00000143590.14,AFA,1
SL004332_ENSG00000143125.6,AFA,2
SL000324_ENSG00000157131.10,AFA,0
SL000324_ENSG00000021852.13,AFA,0
SL004066_ENSG00000188784.4,AFA,1
SL004182_ENSG00000127472.11,AFA,0
SL000573_ENSG00000132703.4,AFA,0
SL004126_ENSG00000049249.8,AFA,1
SL004180_ENSG00000120949.15,AFA,3
SL004140_ENSG00000243364.8,AFA,0
SL001890_ENSG00000184292.7,AFA,3
SL000557_ENSG00000067606.17,AFA,1
SL002528_ENSG00000188257.11,AFA,0
SL004326_ENSG00000120337.8,AFA,0
SL004591_ENSG00000119535.17,AFA,5
SL000497_ENSG00000135862.6,AFA,0
SL000309_ENSG00000173372.17,AFA,0
SL000309_ENSG00000173369.16,AFA,0
SL000309_ENSG00000159189.12,AFA,0
SL001717_ENSG00000136634.7,AFA,0
SL004625_ENSG00000158859.10,AFA,3
SL004649_ENSG00000117586.11,AFA,0
SL003199_ENSG00000066056.14,AFA,3
SL004670_ENSG00000117407.17,AFA,1
SL005156_ENSG00000158747.14,AFA,0
SL001720_ENSG00000162692.12,AFA,2
SL005059_ENSG00000069702.11,AFA,2
SL004354_ENSG00000142224.16,AFA,2
SL000633_ENSG00000117560.8,AFA,0
SL001800_ENSG00000028137.19,AFA,4
SL004673_ENSG00000163131.11,AFA,2
SL000640_ENSG00000116962.15,AFA,10
SL005797_ENSG00000162896.6,AFA,3
SL006803_ENSG00000132855.5,AFA,2
SL010450_ENSG00000117091.10,AFA,1
SL006108_ENSG00000073754.6,AFA,0
SL008623_ENSG00000184144.12,AFA,6
SL010459_ENSG00000143226.13,AFA,3
SL010460_ENSG00000072694.20,AFA,1
SL008609_ENSG00000162747.11,AFA,0
SL010461_ENSG00000150337.13,AFA,0
SL007385_ENSG00000162892.16,AFA,3
SL004610_ENSG00000157193.18,AFA,2
SL007674_ENSG00000122224.18,AFA,2
SL000272_ENSG00000117601.13,AFA,0
SL010288_ENSG00000131686.15,AFA,5
SL006550_ENSG00000143369.15,AFA,2
SL017614_ENSG00000117020.18,AFA,0
SL000565_ENSG00000143839.15,AFA,1
SL010529_ENSG00000143222.12,AFA,0
SL006916_ENSG00000182866.17,AFA,0
SL009089_ENSG00000132692.19,AFA,2
SL001945_ENSG00000007908.16,AFA,6
SL005224_ENSG00000117400.17,AFA,2
SL005225_ENSG00000198400.11,AFA,5
SL000271_ENSG00000135744.8,AFA,3
SL000589_ENSG00000134200.3,AFA,0
SL007121_ENSG00000196188.11,AFA,3
SL006029_ENSG00000133063.16,AFA,4
SL004120_ENSG00000162733.19,AFA,0
SL004060_ENSG00000117298.16,AFA,0
SL007806_ENSG00000142677.4,AFA,5
SL010376_ENSG00000142606.16,AFA,4
SL004804_ENSG00000162706.13,AFA,0
SL008588_ENSG00000066294.14,AFA,0
SL006830_ENSG00000134389.9,AFA,3
SL000306_ENSG00000120937.9,AFA,1
SL011448_ENSG00000186827.11,AFA,0
SL002684_ENSG00000184371.14,AFA,4
SL000027_ENSG00000073756.12,AFA,1
SL006912_ENSG00000000938.13,AFA,0
SL007620_ENSG00000081985.11,AFA,4
SL010503_ENSG00000162889.10,AFA,1
SL004919_ENSG00000117450.14,AFA,0
SL004346_ENSG00000162891.10,AFA,0
SL001943_ENSG00000160712.13,AFA,2
SL003186_ENSG00000143184.5,AFA,1
SL000560_ENSG00000174175.17,AFA,7
SL000088_ENSG00000092969.12,AFA,0
SL000415_ENSG00000000971.15,AFA,7
SL017611_ENSG00000175793.12,AFA,0
SL000247_ENSG00000142657.21,AFA,1
SL003658_ENSG00000053371.12,AFA,6
SL008039_ENSG00000117448.13,AFA,1
SL000051_ENSG00000132693.12,AFA,0
SL013570_ENSG00000143479.17,AFA,2
SL014088_ENSG00000160856.21,AFA,6
SL010830_ENSG00000159023.21,AFA,1
SL007871_ENSG00000162368.13,AFA,0
SL016128_ENSG00000117862.12,AFA,2
SL001737_ENSG00000175793.12,AFA,0
SL002823_ENSG00000188404.10,AFA,3
SL002654_ENSG00000142627.13,AFA,4
SL000622_ENSG00000198734.11,AFA,16
SL005167_ENSG00000116977.18,AFA,4
SL000024_ENSG00000117525.14,AFA,3
SL008178_ENSG00000143196.5,AFA,4
SL008933_ENSG00000116288.13,AFA,1
SL005694_ENSG00000117592.9,AFA,0
SL014188_ENSG00000122223.13,AFA,3
SL004556_ENSG00000196352.15,AFA,2
SL014294_ENSG00000183317.17,AFA,7
SL007179_ENSG00000133216.16,AFA,1
SL005185_ENSG00000162594.16,AFA,3
SL007356_ENSG00000134250.20,AFA,0
SL014228_ENSG00000162739.14,AFA,0
